,Year,Transistor count
1,1971,2250.0
2,1971,3078.0
3,1972,3500.0
4,1973,2500.0
6,1974,3000.0
7,1974,4100.0
8,1974,6000.0
9,1974,8000.0
10,1975,4528.0
11,1975,4000.0
12,1975,5000.0
13,1976,5000.0
14,1976,8500.0
15,1976,6500.0
16,1976,8000.0
17,1977,7000.0
18,1978,9000.0
19,1978,29000.0
20,1979,17500.0
21,1979,29000.0
22,1979,68000.0
23,1980,50000.0
24,1981,11500.0
25,1981,45000.0
26,1982,55000.0
27,1982,134000.0
28,1983,22000.0
29,1984,63000.0
30,1984,190000.0
31,1985,275000.0
32,1985,25000.0
33,1985,16000.0
34,1986,110000.0
35,1986,375000.0
36,1986,27000.0
37,1986,91000.0
38,1987,385000.0
39,1987,730000.0
40,1987,273000.0
41,1987,553000.0
42,1988,180000.0
43,1988,250000.0
44,1989,600000.0
45,1989,1000000.0
46,1989,1180235.0
47,1989,310000.0
48,1990,6900000.0
49,1990,1200000.0
50,1991,1350000.0
51,1991,35000.0
52,1992,600000.0
53,1992,900000.0
54,1992,1680000.0
55,1993,2800000.0
56,1993,3100000.0
57,1993,23037000.0
58,1994,578977.0
59,1994,7000.0
60,1994,2500000.0
61,1994,2800000.0
62,1994,1600000.0
63,1995,2600000.0
64,1995,9300000.0
65,1995,2500000.0
66,1995,5500000.0
67,1995,3800000.0
68,1996,9660000.0
69,1996,4300000.0
70,1997,7500000.0
71,1997,8800000.0
72,1997,15000.0
74,1998,7500000.0
75,1998,15200000.0
76,1998,5700000.0
77,1998,3200000.0
78,1999,111000.0
79,1999,9500000.0
80,1999,10500000.0
81,1999,27400000.0
82,1999,21300000.0
83,1999,22000000.0
84,2000,21000000.0
85,2000,21000000.0
86,2000,42000000.0
87,2001,191000000.0
88,2001,45000000.0
89,2002,55000000.0
90,2002,220000000.0
91,2003,152000000.0
92,2003,54300000.0
93,2003,105900000.0
94,2003,77000000.0
95,2003,410000000.0
96,2003,53500000.0
97,2004,112000000.0
98,2004,144000000.0
99,2004,400000000.0
100,2004,592000000.0
101,2005,169000000.0
102,2005,228000000.0
103,2005,165000000.0
104,2005,250000000.0
105,2006,184000000.0
106,2006,362000000.0
107,2006,291000000.0
108,2006,1700000000.0
109,2007,463000000.0
110,2007,26000000.0
111,2007,411000000.0
112,2007,789000000.0
113,2007,169000000.0
114,2007,250000000.0
115,2007,540000000.0
116,2008,230000000.0
117,2008,731000000.0
118,2008,758000000.0
119,2008,47000000.0
120,2008,600000000.0
121,2008,1900000000.0
122,2009,904000000.0
123,2009,760000000.0
124,2010,123000000.0
125,2010,176000000.0
126,2010,1000000000.0
127,2010,1170000000.0
128,2010,1200000000.0
129,2010,1400000000.0
130,2010,2000000000.0
131,2010,2300000000.0
132,2011,1870000000.0
133,2011,1160000000.0
134,2011,2270000000.0
135,2011,2600000000.0
136,2012,432000000.0
137,2012,2990000000.0
138,2012,1200000000.0
139,2012,1303000000.0
140,2012,1400000000.0
141,2012,2100000000.0
142,2012,2750000000.0
143,2012,3100000000.0
144,2012,5000000000.0
145,2013,1000000000.0
146,2013,1860000000.0
147,2013,4200000000.0
148,2013,5000000000.0
149,2014,1400000000.0
150,2014,2000000000.0
151,2014,2600000000.0
152,2014,3000000000.0
153,2014,4310000000.0
154,2014,5560000000.0
155,2015,1750000000.0
156,2015,1900000000.0
160,2015,3990000000.0
161,2015,7100000000.0
162,2015,10000000000.0
163,2016,3200000000.0
164,2016,3300000000.0
165,2016,4000000000.0
166,2016,7200000000.0
167,2016,8000000000.0
169,2016,3000000000.0
170,2017,4300000000.0
171,2017,1400000000.0
172,2017,4800000000.0
173,2017,4800000000.0
174,2017,6100000000.0
175,2017,9700000000.0
176,2017,5500000000.0
177,2017,7000000000.0
178,2017,8000000000.0
179,2017,7100000000.0
180,2017,8000000000.0
181,2017,250000000.0
182,2017,5450000000.0
183,2017,4300000000.0
184,2017,18000000000.0
185,2017,19200000000.0
186,2017,5300000000.0
187,2017,5300000000.0
188,2018,5500000000.0
189,2018,6900000000.0
190,2018,6900000000.0
191,2018,8500000000.0
192,2018,10000000000.0
193,2018,8786000000.0
194,2018,9000000000.0
195,2018,6700000000.0
196,2019,475000000.0
197,2019,1900000000.0
198,2019,3800000000.0
199,2019,2090000000.0
200,2019,8340000000.0
201,2019,9800000000.0
202,2019,5990000000.0
203,2019,8000000000.0
204,2019,8500000000.0
205,2019,9200000000.0
206,2019,12200000000.0
207,2019,9890000000.0
208,2019,10300000000.0
209,2019,30000000000.0
210,2019,39540000000.0
211,2019,10300000000.0
212,2020,3500000000.0
213,2020,11800000000.0
214,2020,16000000000.0
215,2023,9510000000.0
216,2020,15300000000.0
217,2020,4080000000.0
218,2020,4150000000.0
220,2021,10700000000.0
222,2021,15000000000.0
223,2023,19000000000.0
224,2021,33700000000.0
225,2021,57000000000.0
226,2021,36000000000.0
227,2021,15300000000.0
228,2022,114000000000.0
230,2022,45000000000.0
231,2022,20000000000.0
232,2023,25000000000.0
233,2023,37000000000.0
234,2023,92000000000.0
235,2022,16000000000.0
236,2022,17000000000.0
237,2022,16000000000.0
238,2022,90000000000.0
240,2023,40000000000.0
241,2023,67000000000.0
242,2023,134000000000.0
243,2023,82000000000.0
